Sede;Atenciones
cedezo altavista;116
cedezo aranjuez;425
cedezo belen;1133
cedezo buenos aires;0
cedezo castilla;511
cedezo doce de octubre;0
cedezo guayabal;697
cedezo la america;0
cedezo la candelaria;1089
cedezo laureles-estadio;0
cedezo manrique;696
cedezo nuevo occidente;457
cedezo poblado;0
cedezo popular;466
cedezo robledo;782
cedezo san antonio de prado;1104
cedezo san cristobal;693
cedezo san javier;1597
cedezo san sebastian de palmitas;338
cedezo santa cruz;0
cedezo santa elena;803
cedezo villa hermosa;1481
