Sedes;Atenciones
cedezo altavista;1258
cedezo aranjuez;2549
cedezo belen;5089
cedezo buenos aires;0
cedezo castilla;4192
cedezo doce de octubre;0
cedezo guayabal;1604
cedezo la america;0
cedezo la candelaria;2833
cedezo laureles-estadio;0
cedezo manrique;2363
cedezo nuevo occidente;650
cedezo poblado;0
cedezo popular;2508
cedezo robledo;3670
cedezo san antonio de prado;2251
cedezo san cristobal;1283
cedezo san javier;5525
cedezo san sebastian de palmitas;962
cedezo santa cruz;0
cedezo santa elena;876
cedezo villa hermosa;4227
